,Nodes,Id,Labels
0,www.theguardian.com,1,www.theguardian.com
973,mashable.com,2,mashable.com
6888,www.huffingtonpost.com,3,www.huffingtonpost.com
13716,www.nextgov.com,4,www.nextgov.com
13781,news.discovery.com,5,news.discovery.com
13816,www.takepart.com,6,www.takepart.com
16531,www.businessweek.com,7,www.businessweek.com
17058,twitter.com,8,twitter.com
17801,www.tmz.com,9,www.tmz.com
18665,marvel-movies.wikia.com,10,marvel-movies.wikia.com
18705,www.gizmodo.com.au,11,www.gizmodo.com.au
22626,snapfoc.us,12,snapfoc.us
27205,www.eggmarketingpr.com,13,www.eggmarketingpr.com
27472,www.youtube.com,14,www.youtube.com
28407,foodinjars.com,15,foodinjars.com
28597,smittenkitchen.com,16,smittenkitchen.com
29127,www.buzzfeed.com,17,www.buzzfeed.com
29243,www.theatlantic.com,18,www.theatlantic.com
29690,www.wired.com,19,www.wired.com
29808,www.newyorker.com,20,www.newyorker.com
32730,www.dailydot.com,21,www.dailydot.com
36887,www.bbc.co.uk,22,www.bbc.co.uk
37785,www.latimes.com,23,www.latimes.com
41287,www.slate.com,24,www.slate.com
44151,www.livescience.com,25,www.livescience.com
45401,memeburn.com,26,memeburn.com
50123,inspirationfeed.com,27,inspirationfeed.com
50420,www.prweb.com,28,www.prweb.com
51031,www.talkradionews.com,29,www.talkradionews.com
53274,www.adweek.com,30,www.adweek.com
54793,www.newrepublic.com,31,www.newrepublic.com
55446,theatlantic.feedsportal.com,32,theatlantic.feedsportal.com
56234,strategyonline.ca,33,strategyonline.ca
56435,trialofsuzuki.ca,34,trialofsuzuki.ca
57273,perezhilton.com,35,perezhilton.com
57766,tvbythenumbers.zap2it.com,36,tvbythenumbers.zap2it.com
57824,nymag.com,37,nymag.com
58075,www.dailymail.co.uk,38,www.dailymail.co.uk
113614,www.zemanta.com,39,www.zemanta.com
115259,www.pikaba.com,40,www.pikaba.com
116540,italiano.istockphoto.com,41,italiano.istockphoto.com
116979,portuguesbrasileiro.istockphoto.com,42,portuguesbrasileiro.istockphoto.com
117037,portugues.istockphoto.com,43,portugues.istockphoto.com
118293,espanol.istockphoto.com,44,espanol.istockphoto.com
118345,francais.istockphoto.com,45,francais.istockphoto.com
118988,press.gettyimages.com,46,press.gettyimages.com
122075,www.istockphoto.com,47,www.istockphoto.com
124045,blog.thomasdolby.com,48,blog.thomasdolby.com
124071,www.bnlblog.com,49,www.bnlblog.com
124218,soundcloud.com,50,soundcloud.com
126891,www.marylandsearch.org,51,www.marylandsearch.org
126917,www.foxbusiness.com,52,www.foxbusiness.com
127462,www.moby.com,53,www.moby.com
145776,www.thelocal.no,54,www.thelocal.no
146144,www.nzherald.co.nz,55,www.nzherald.co.nz
146188,www.orlandosentinel.com,56,www.orlandosentinel.com
150149,rosie.com,57,rosie.com
151721,www.rosiestheaterkids.org,58,www.rosiestheaterkids.org
151888,38pitches.com,59,38pitches.com
152104,www.activenetwork.com,60,www.activenetwork.com
158743,www.marketkarma.com,61,www.marketkarma.com
165592,www.mariska.com,62,www.mariska.com
167387,alyssa.mlblogs.com,63,alyssa.mlblogs.com
167886,losangeles.dodgers.mlb.com,64,losangeles.dodgers.mlb.com
172482,quebec.huffingtonpost.ca,65,quebec.huffingtonpost.ca
173889,www.bloomberg.com,66,www.bloomberg.com
174246,marketingland.com,67,marketingland.com
174460,www.mediabistro.com,68,www.mediabistro.com
174952,www.slashgear.com,69,www.slashgear.com
175398,fedscoop.com,70,fedscoop.com
175413,blog.lyft.com,71,blog.lyft.com
175515,www.iphoneincanada.ca,72,www.iphoneincanada.ca
175873,www.pcadvisor.co.uk,73,www.pcadvisor.co.uk
175981,www.macobserver.com,74,www.macobserver.com
176116,www.tuaw.com,75,www.tuaw.com
176165,bgr.com,76,bgr.com
176305,www.engadget.com,77,www.engadget.com
176326,9to5mac.com,78,9to5mac.com
176919,www.thewhir.com,79,www.thewhir.com
177128,pando.com,80,pando.com
177382,www.bbc.com,81,www.bbc.com
177431,www.cnet.com,82,www.cnet.com
177944,techpresident.com,83,techpresident.com
178190,socialtimes.com,84,socialtimes.com
178380,www.techspot.com,85,www.techspot.com
178785,defamer.gawker.com,86,defamer.gawker.com
178819,pagesix.com,87,pagesix.com
178947,dlisted.com,88,dlisted.com
179420,siliconangle.com,89,siliconangle.com
179431,www.adafruit.com,90,www.adafruit.com
179616,thehill.com,91,thehill.com
179663,www.theverge.com,92,www.theverge.com
179995,www.ubergizmo.com,93,www.ubergizmo.com
180542,gizmodo.com,94,gizmodo.com
180603,www.businessinsider.com,95,www.businessinsider.com
181619,www.pcmag.com,96,www.pcmag.com
181726,boingboing.net,97,boingboing.net
181973,motherboard.vice.com,98,motherboard.vice.com
182146,recode.net,99,recode.net
182588,www.thewrap.com,100,www.thewrap.com
183020,www.yorkshirepost.co.uk,101,www.yorkshirepost.co.uk
183142,thenextweb.com,102,thenextweb.com
183255,www.nydailynews.com,103,www.nydailynews.com
183280,popwatch.ew.com,104,popwatch.ew.com
184037,www.nytimes.com,105,www.nytimes.com
185651,www.washingtonpost.com,106,www.washingtonpost.com
185856,www.celebitchy.com,107,www.celebitchy.com
185934,gawker.com,108,gawker.com
186178,fusion.net,109,fusion.net
186231,dfw.cbslocal.com,110,dfw.cbslocal.com
186492,abcnews.go.com,111,abcnews.go.com
186541,ktla.com,112,ktla.com
187614,www.hollywoodreporter.com,113,www.hollywoodreporter.com
188432,www.wwtdd.com,114,www.wwtdd.com
190696,www.idolator.com,115,www.idolator.com
190930,www.spinmedia.com,116,www.spinmedia.com
190937,www.thesuperficial.com,117,www.thesuperficial.com
191341,www.today.com,118,www.today.com
192306,www.foxnews.com,119,www.foxnews.com
193385,www.usmagazine.com,120,www.usmagazine.com
194011,www.people.com,121,www.people.com
194076,greatideas.people.com,122,greatideas.people.com
194544,www.peoplestylewatch.com,123,www.peoplestylewatch.com
195069,www.hollywoodtuna.com,124,www.hollywoodtuna.com
196546,www.hola.com,125,www.hola.com
196759,www.hellomagazine.com,126,www.hellomagazine.com
197193,blog.hellomagazine.com,127,blog.hellomagazine.com
198617,fashionweek.hellomagazine.com,128,fashionweek.hellomagazine.com
201721,qz.com,129,qz.com
201784,www.inc.com,130,www.inc.com
201845,finance.yahoo.com,131,finance.yahoo.com
202049,blog.getpebble.com,132,blog.getpebble.com
206960,www.pcworld.com,133,www.pcworld.com
210236,download.cnet.com,134,download.cnet.com
213275,chitika.com,135,chitika.com
213622,www.technologyreview.com,136,www.technologyreview.com
215086,www.computerworld.com.au,137,www.computerworld.com.au
215321,arstechnica.com,138,arstechnica.com
215577,www.reuters.com,139,www.reuters.com
215925,www.clickz.com,140,www.clickz.com
216706,blog.laptopmag.com,141,blog.laptopmag.com
218857,www.indiegogo.com,142,www.indiegogo.com
220999,www.bookrenter.com,143,www.bookrenter.com
221635,allthingsd.com,144,allthingsd.com
222836,blog.blekko.com,145,blog.blekko.com
223131,www.techstars.com,146,www.techstars.com
223561,credit-card-review.toptenreviews.com,147,credit-card-review.toptenreviews.com
223678,www.businessnewsdaily.com,148,www.businessnewsdaily.com
224623,venturebeat.com,149,venturebeat.com
225280,blog.airbnb.com,150,blog.airbnb.com
227844,www.customcontentcouncil.com,151,www.customcontentcouncil.com
227856,blog.hubspot.com,152,blog.hubspot.com
230625,blog.shedd.us,153,blog.shedd.us
231933,blog.bloom.io,154,blog.bloom.io
233615,www.azarask.in,155,www.azarask.in
234539,www.androidtapp.com,156,www.androidtapp.com
235240,www.syncapse.com,157,www.syncapse.com
236889,www.businesswire.com,158,www.businesswire.com
237698,steveblank.com,159,steveblank.com
238168,soulfjord.com,160,soulfjord.com
240314,datasift.com,161,datasift.com
241274,www.showbiz411.com,162,www.showbiz411.com
242282,www.bothsidesofthetable.com,163,www.bothsidesofthetable.com
242870,techcrunch.com,164,techcrunch.com
246312,vimeo.com,165,vimeo.com
246944,www.cnbc.com,166,www.cnbc.com
248754,blogs.wsj.com,167,blogs.wsj.com
252911,indo.wsj.com,168,indo.wsj.com
257636,www.leparisien.fr,169,www.leparisien.fr
257984,videos.tf1.fr,170,videos.tf1.fr
258215,www.dashlane.com,171,www.dashlane.com
258304,ma.tt,172,ma.tt
258401,lorelleteaches.com,173,lorelleteaches.com
258602,antyweb.pl,174,antyweb.pl
259112,kurtbrindley.com,175,kurtbrindley.com
259493,blog.squarespace.com,176,blog.squarespace.com
259517,www.squarespace.com,177,www.squarespace.com
261542,www.forbes.com,178,www.forbes.com
263339,plus.google.com,179,plus.google.com
263470,www.apx-labs.com,180,www.apx-labs.com
263596,www.businessinsider.my,181,www.businessinsider.my
263621,www.businessinsider.sg,182,www.businessinsider.sg
263915,www.businessinsider.co.id,183,www.businessinsider.co.id
264849,gigaom.com,184,gigaom.com
265160,www.mc10inc.com,185,www.mc10inc.com
265372,www.npr.org,186,www.npr.org
266866,www.boston.com,187,www.boston.com
267881,www.staradvertiser.com,188,www.staradvertiser.com
269037,www.pri.org,189,www.pri.org
270836,blog.uber.com,190,blog.uber.com
271228,money.cnn.com,191,money.cnn.com
272376,www.onbeep.com,192,www.onbeep.com
272384,www.kickstarter.com,193,www.kickstarter.com
273671,avc.com,194,avc.com
274568,www.overstock.com,195,www.overstock.com
274867,www.cbinsights.com,196,www.cbinsights.com
275402,legal.kinja.com,197,legal.kinja.com
275453,theconcourse.deadspin.com,198,theconcourse.deadspin.com
275642,lifehacker.com,199,lifehacker.com
275691,kotaku.com,200,kotaku.com
275724,io9.com,201,io9.com
275777,disputations.gawker.com,202,disputations.gawker.com
276446,thewest.gawker.com,203,thewest.gawker.com
276447,antiviral.gawker.com,204,antiviral.gawker.com
276568,review.gawker.com,205,review.gawker.com
277087,thevane.gawker.com,206,thevane.gawker.com
280083,www.revistagq.com,207,www.revistagq.com
280376,www.gq.com,208,www.gq.com
281027,www.androidauthority.com,209,www.androidauthority.com
281148,www.usatoday.com,210,www.usatoday.com
283918,www.prnewswire.com,211,www.prnewswire.com
285166,www.getboxer.com,212,www.getboxer.com
287508,www.harrys.com,213,www.harrys.com
287568,fortune.com,214,fortune.com
288801,imgur.com,215,imgur.com
310700,www.flickr.com,216,www.flickr.com
312972,www.psmag.com,217,www.psmag.com
318045,www.mommypotamus.com,218,www.mommypotamus.com
341064,glutenfreegirl.com,219,glutenfreegirl.com
350932,www.bakeaholicmama.com,220,www.bakeaholicmama.com
358717,www.phillymag.com,221,www.phillymag.com
358788,billcosby.com,222,billcosby.com
367236,www.fao.org,223,www.fao.org
367240,thestonesoup.com,224,thestonesoup.com
368143,knowyourmeme.com,225,knowyourmeme.com
369135,www.thehubcomms.com,226,www.thehubcomms.com
376024,firstwefeast.com,227,firstwefeast.com
376076,www.newsday.com,228,www.newsday.com
380273,www.sbs.com.au,229,www.sbs.com.au
381648,www.defenseone.com,230,www.defenseone.com
381682,www.nationaljournal.com,231,www.nationaljournal.com
381916,www.citylab.com,232,www.citylab.com
384859,thehairpin.com,233,thehairpin.com
386351,techinasia.com,234,techinasia.com
387688,www.thetimes.co.uk,235,www.thetimes.co.uk
389742,games.mirrorbingo.com,236,games.mirrorbingo.com
389758,www.mirror.co.uk,237,www.mirror.co.uk
401602,localhost,238,localhost
410677,www.instructables.com,239,www.instructables.com
412252,www.mobiledia.com,240,www.mobiledia.com
414070,www.startribune.com,241,www.startribune.com
418955,espn.go.com,242,espn.go.com
419195,www.espnfrontrow.com,243,www.espnfrontrow.com
421148,insider.espn.go.com,244,insider.espn.go.com
492533,www.boozecats.com,245,www.boozecats.com
493359,www.thejanedough.com,246,www.thejanedough.com
498833,www.cafepress.com,247,www.cafepress.com
508636,news.yahoo.com,248,news.yahoo.com
509699,fourfeetnine.com,249,fourfeetnine.com
515307,www.technewsdaily.com,250,www.technewsdaily.com
515564,www.geeksugar.com,251,www.geeksugar.com
522081,www.fastcodesign.com,252,www.fastcodesign.com
522418,www.csmonitor.com,253,www.csmonitor.com
523761,www.jenders.com,254,www.jenders.com
528106,www.insidefacebook.com,255,www.insidefacebook.com
529532,news.nationalgeographic.com,256,news.nationalgeographic.com
531411,www.thedailymuse.com,257,www.thedailymuse.com
534507,www.wildapricot.com,258,www.wildapricot.com
534528,www.sixdegrees.org,259,www.sixdegrees.org
538851,appadvice.com,260,appadvice.com
541189,help.overstock.com,261,help.overstock.com
550658,flickriver.com,262,flickriver.com
552318,www.target.com,263,www.target.com
556455,www.tecca.com,264,www.tecca.com
556489,www.fool.com,265,www.fool.com
559534,www.fool.de,266,www.fool.de
559635,blog.friendfeed.com,267,blog.friendfeed.com
559771,rockyou.com,268,rockyou.com
564914,www.mtv.com,269,www.mtv.com
567960,www.marthastewart.com,270,www.marthastewart.com
569136,www.ibm.com,271,www.ibm.com
585445,www.uefa.com,272,www.uefa.com
589653,www.meteorwatch.org,273,www.meteorwatch.org
603097,www.zerohedge.com,274,www.zerohedge.com
604977,www.mayoclinic.org,275,www.mayoclinic.org
619486,www.msf.org,276,www.msf.org
625010,medium.com,277,medium.com
